CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
R3K3/8/5n1r/2N2k2/6r1/8/8/R7 w - - 2 39,-185,-180,-180,-179,-170,-183,-190,-325
8/4k3/1K3N2/8/R7/8/n4Q2/1q5r w - - 5 51,39,35,38,27,81,40,110,75
8/1QRq4/8/1R6/3r4/4K3/8/k3r3 w - - 15 67,-31990,-347,-31992,-31990,-31990,-31992,-31990,-31992
4r3/1q3r2/7k/8/3Q1R2/8/4KR2/8 w - - 7 60,505,587,875,714,556,575,677,706
n2br3/1N2k3/8/4B3/8/4R2K/8/8 w - - 16 51,170,179,185,193,179,180,172,186
8/8/6Q1/4rqR1/1K1r4/8/6R1/4k3 w - - 3 41,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
8/4nkr1/N2Q3R/8/8/2K1q3/8/8 w - - 8 67,-52,-75,-44,-30,-39,-106,-59,-39
8/3KQ3/7q/8/3r1knN/1R6/8/8 w - - 9 30,-15,-7,0,-36,-7,0,-5,-6
7k/8/8/b4B1K/2r5/3N1R2/8/3n4 w - - 17 62,28,44,44,31,46,37,81,44
r7/8/3R4/1r4K1/7R/2b5/8/3B1k2 w - - 0 36,0,0,0,0,0,0,0,0
B5K1/3k4/R5R1/8/5b2/8/8/r6r w - - 0 60,166,167,170,170,168,168,159,170
r7/8/q1k5/8/6BK/8/1b6/5QR1 w - - 0 51,154,154,158,162,203,156,163,161
8/5k2/5q2/6K1/8/2n5/3QB1Nb/8 w - - 5 54,-324,-377,-359,-378,-347,-342,-328,-351
1R6/1R6/7k/4r3/8/1B2r3/5K2/4b3 w - - 1 56,-213,-230,-237,-211,-205,-225,-212,-230
8/5r2/K3k3/8/1Q1R4/5b2/8/4Bq2 w - - 11 47,-164,-167,-169,-164,-163,-168,-165,-166
8/8/8/3R2Q1/1bk5/8/7q/K2Br3 w - - 5 37,-293,-188,-215,-183,-267,-236,-178,-207
4Q3/q7/8/3rBR2/8/8/1bk5/4K3 w - - 16 68,22,185,15,22,21,180,21,15
6q1/8/K7/3n2N1/3N3Q/3n4/6k1/8 w - - 14 54,586,31994,31994,31994,31994,31994,31994,31994
1r6/8/8/8/K6k/5R2/Q2R4/qr6 w - - 8 30,-2891,-3105,-3118,-2916,-3131,-3167,-1029,-2854
q3k1K1/b7/8/8/7B/4B2b/3Q4/8 w - - 4 31,212,275,245,334,250,243,227,276
8/Q3R1N1/5q2/3n4/6k1/2r5/1K6/8 w - - 15 68,78,160,121,68,91,83,102,177
8/2k3B1/5Q2/4N3/8/2n1b3/4q3/7K w - - 12 53,349,68,357,351,353,63,351,365
r4b1n/8/8/2R5/k1N5/8/2K2B2/8 w - - 4 34,55,211,196,184,199,179,67,185
8/3B2R1/2r5/2b5/kn6/7K/8/4N3 w - - 9 32,61,58,67,56,53,54,61,65
3k4/8/1qB5/4K3/Q3B3/8/8/4bb2 w - - 1 61,31988,31986,31988,31988,31986,31988,31988,31988
kn4RN/8/2q5/4r3/8/4K3/5Q2/8 w - - 18 58,-129,-204,-63,-268,-198,-61,-205,-259
8/4K1Q1/8/nk1q4/3r4/8/8/4RN2 w - - 4 39,-157,-133,-95,-187,-157,-327,-93,-101
3Q4/4N3/8/6R1/q1r5/6K1/8/k2n4 w - - 7 30,259,238,239,259,257,218,254,245
8/4n3/8/3BN3/k2K4/7Q/3qb3/8 w - - 4 61,-270,-267,-276,-277,-276,-314,-269,-273
8/3r4/4k3/8/1R6/5Q1b/5K2/3B1q2 w - - 5 31,-47,-317,-177,-285,-184,-291,-161,-47
6Nk/n7/5N2/2rn1K2/8/6R1/8/8 w - - 9 31,151,279,208,57,201,288,140,41
5rk1/8/8/1N2K3/1R4n1/2Q5/8/6q1 w - - 3 32,-132,-107,-95,-113,-145,-105,-129,-128
k4q2/7K/8/8/4r3/3R3Q/8/2N3n1 w - - 8 34,32,34,39,177,42,245,180,39
2K5/8/7q/8/k5b1/B3r3/5R2/Q7 w - - 16 52,52,14,47,169,70,36,176,45
2Q5/8/2B5/7K/2k1q3/6n1/7N/4b3 w - - 12 66,-31993,-31993,-31993,-31993,-31993,-373,-31993,-31993
8/4K3/5Q2/R3Bq2/3b4/3k4/8/5r2 w - - 13 61,55,360,54,374,55,52,201,360
8/8/4n1Q1/8/3n4/1N1N3q/1K2k3/8 w - - 5 34,276,281,287,269,258,277,278,281
1B6/5BR1/6K1/2b5/6k1/8/8/2b2r2 w - - 9 53,31,34,31,30,30,31,34,31
4N2R/8/k7/3Q4/q3K3/1r6/8/n7 w - - 1 37,122,119,305,137,184,365,95,168
2K3k1/8/2r5/6r1/3R4/5QR1/8/2q5 w - - 7 35,-22,-16,-19,-10,-152,-165,-98,-9
1k6/5q2/r7/6Q1/8/b2K3R/3B4/8 w - - 11 37,259,285,317,374,349,329,303,300
8/k1r1q3/7r/8/4R1Q1/1K6/8/6R1 w - - 18 67,0,54,0,134,120,8,2,22
8/4k3/b7/R1n5/2rK4/N7/5B2/8 w - - 6 41,15,25,15,19,13,15,54,15
B1n5/6r1/8/N7/5R2/8/1b3K2/3k4 w - - 9 47,34,45,31,53,53,36,47,34
2b1K3/R1B5/8/6R1/5r2/5r2/1k6/8 w - - 2 65,168,162,156,167,165,163,163,150
n1K2k2/6Nn/8/4N3/8/6Q1/3q4/8 w - - 4 65,578,578,546,597,611,600,589,570
1br5/1B1k4/K7/1R5Q/8/q7/8/8 w - - 15 50,-876,-790,-3365,-31989,-105,-18,-3170,-831
4kq2/8/4B3/K7/3r4/1R6/2Q5/7b w - - 4 34,352,199,284,355,237,134,352,88
8/2n1R3/6Q1/6N1/3q2k1/2r5/8/6K1 w - - 16 62,-304,-283,-340,-311,-274,-290,-298,-315
8/5Q2/4r1K1/3kB2R/8/4b3/3q4/8 w - - 10 67,267,341,249,267,253,260,254,362
K3n3/8/8/5Q2/k7/q1r5/8/5NR1 w - - 1 62,-7,-281,-286,-4,-333,-311,-12,-261
4k2K/3R1R2/4B2b/5r2/8/5r2/8/8 w - - 10 66,170,169,177,177,174,171,167,173
8/kq5K/4n3/4r3/4N3/8/2R3Q1/8 w - - 2 56,-261,-234,-265,-253,-263,-240,-258,-265
8/Q1B5/2N2n2/8/8/4q3/3b2K1/4k3 w - - 13 46,139,154,153,152,162,139,139,155
1r2n1K1/1r6/8/6k1/8/R1N5/8/2R5 w - - 1 62,-157,-22,-60,-112,-59,-35,-60,-27
2b5/6B1/B5Q1/8/8/5k1b/8/2q4K w - - 11 62,-448,-453,-436,-461,-440,-458,-458,-436
K7/2r5/5k2/2n5/8/1r6/R6N/2R5 w - - 4 44,-34,-50,-42,-35,-32,-41,-40,-36
2Q5/R7/3k4/7r/1K3q2/1N6/1n6/8 w - - 15 65,-288,-635,-602,-608,-566,-574,-593,-626
3q1r2/1k6/8/1K6/1R5n/8/1Q6/2N5 w - - 9 47,537,496,451,896,661,995,746,561
3r1Q2/8/3K4/8/3R1Rrq/8/8/1k6 w - - 9 36,0,0,0,0,-165,0,0,0
5nk1/7b/8/2KN4/1Q6/1B6/8/7q w - - 5 57,418,31993,349,372,31993,421,31992,31993
5N2/R7/7K/7B/3n4/8/2k2b2/1r6 w - - 5 32,11,11,11,11,11,11,11,11
6R1/6B1/3q4/8/k3K3/3r4/1Q6/4b3 w - - 2 31,180,178,184,189,189,184,181,194
n7/1R6/7R/1K6/N7/8/k7/4r1r1 w - - 16 63,162,167,106,164,147,144,153,161
8/1r6/5N1K/8/2k5/8/1nq5/6QR w - - 1 62,247,270,244,282,249,219,273,277
1q6/1r6/8/2RK3Q/4R3/k7/3r4/8 w - - 12 42,-725,-543,-610,-657,-955,-945,-2856,-978
1Q5N/8/6K1/2R5/3r4/7n/3q4/6k1 w - - 18 61,46,45,39,42,42,42,47,42
8/4k3/1N4B1/8/8/1K5Q/7n/2b4q w - - 3 34,274,315,225,253,134,277,115,285
3K4/R7/5k2/QR6/8/3qr3/8/7r w - - 2 51,-187,-188,-172,-326,-244,-242,-182,-173
8/3q2r1/2n1k3/8/8/2Q5/1R4N1/7K w - - 4 52,154,155,161,167,161,150,149,161
4Q3/8/1K3rN1/1n2R3/8/1q6/8/1k6 w - - 16 60,-264,-311,-296,-265,-283,-44,-265,-285
k1B5/8/NB1b4/1K6/4n3/8/8/b7 w - - 1 33,29,15,29,18,29,45,22,30
5Q2/8/8/5K2/6B1/7R/3b4/1r3kq1 w - - 12 66,2871,468,31986,31988,31986,3141,3108,841
1K4b1/1r6/1k2n3/7N/7B/R7/8/8 w - - 11 49,-11,-11,-19,-8,-7,-16,-9,-3
4B3/1rk1K3/3R4/8/1b6/4B3/4b3/8 w - - 2 37,-170,-173,-173,-179,-182,-169,-164,-180
2K5/2R5/8/8/R4B2/1r2r3/8/1b3k2 w - - 0 40,167,167,156,167,167,163,170,158
5k2/8/8/5KN1/4Q3/1n6/3q4/2n1N3 w - - 12 60,666,616,175,279,411,538,510,197
7r/1Q6/8/8/2k5/8/n3q2N/2K4R w - - 8 40,-31992,-31992,-31992,-31992,-31992,-31992,-31992,-31992
2q5/8/8/Q1n5/2N5/K7/7k/5Bb1 w - - 18 69,220,243,209,239,205,226,207,236
2n2r2/8/r1NR4/8/k7/8/8/3R3K w - - 5 48,160,153,164,161,168,156,158,168
3K4/4R3/k3r2B/3q4/7Q/8/8/5b2 w - - 9 48,-475,-410,-427,-390,-366,-338,-406,-434
3b4/1Bq4k/Q7/r7/8/8/4R3/4K3 w - - 4 36,31993,31993,31993,31993,31993,31993,31993,31993
Q3B3/4k3/3r4/8/8/3q4/3b1K1R/8 w - - 6 35,158,186,258,233,255,189,172,264
3N4/8/3n3K/1qbB4/8/6k1/8/3Q4 w - - 2 30,3350,3148,826,517,452,3232,3129,3165
7B/8/2r5/8/8/R3R2K/1r6/1bk5 w - - 8 48,161,147,124,147,160,140,127,117
B4K2/b7/3b4/4r3/8/4k3/7R/7B w - - 7 40,-196,-194,-188,-189,-196,-192,-194,-184
BR6/K7/1R6/8/3b4/1r1r4/4k3/8 w - - 13 47,-165,-175,-165,-172,-178,-163,-165,-168
2R4R/8/3K4/8/2br4/6rB/7k/8 w - - 8 57,42,34,34,34,31,38,38,31
8/3kq3/3n4/1K1R4/Q7/4r3/2N5/8 w - - 10 54,43,46,42,43,27,44,116,44
8/Q6R/3K4/4n1k1/2r1q3/1N6/8/8 w - - 0 65,221,229,185,207,231,201,236,262
8/2N5/3B2b1/k5b1/8/1K6/1B4n1/8 w - - 12 48,0,0,0,0,0,-2,0,0
k7/6r1/8/8/6K1/7R/Bb3r2/4R3 w - - 13 57,-204,-178,-195,-206,-207,-194,-195,-208
R4Nkr/1Q3n2/8/8/8/3q2K1/8/8 w - - 16 54,-3436,-797,-860,-849,-31985,-3345,-986,-3082
2QN4/1n6/1q3rK1/8/8/8/4R3/7k w - - 3 70,-47,-256,-310,-39,-88,-46,-344,-38
7Q/8/7n/6Nk/8/q2r4/6R1/7K w - - 8 53,31995,31995,31995,31995,31995,31995,31995,31995
KQ2N3/1N6/k7/8/2n5/8/8/1n3q2 w - - 9 51,31992,31992,31992,31992,31992,31992,31992,31992
4r3/1R5Q/8/8/8/5k2/1K6/1N1n1q2 w - - 6 30,0,-7,0,0,-21,-7,0,0
6B1/r3K3/2Q2R2/8/8/8/3q4/kb6 w - - 4 34,-48,-98,-41,-92,-57,-92,-59,-36
6Q1/n7/B4b2/2N5/2K5/5q2/k7/8 w - - 4 42,421,358,443,462,343,424,368,438
6K1/2B4Q/8/3b4/6R1/2k5/r7/4q3 w - - 19 61,-216,-224,-169,-212,-195,-172,-172,-169
4n3/8/8/3Q1b2/1k6/2N3K1/1B6/5q2 w - - 13 42,297,281,290,306,290,278,291,211
6q1/3R4/5r2/Q4n2/8/7N/1K6/7k w - - 0 42,348,349,353,350,349,350,349,349
k7/2b1K3/7r/8/8/1R6/2BbB3/8 w - - 9 54,247,455,444,450,440,443,245,259
8/k7/2K5/q2r4/1n2R3/2Q5/6N1/8 w - - 15 52,88,75,120,265,126,86,63,98
k5r1/1nRK1N2/2B5/8/8/8/8/5b2 w - - 6 65,50,83,51,50,79,68,51,87
1k6/4q3/r2r4/6R1/8/5QRK/8/8 w - - 6 70,172,352,351,350,353,353,187,350
2n3K1/8/8/1Q6/1b2k3/4B3/8/4qN2 w - - 13 57,88,91,114,83,110,91,103,119
5k2/8/nQ6/7K/2b4B/8/q7/4N3 w - - 17 58,3204,3344,3282,3351,3360,799,3270,764
3B4/5K2/RN6/2b3r1/7k/8/8/2n5 w - - 9 61,169,164,155,173,169,165,169,160
n7/3Q4/8/5B2/8/2q2K1N/8/b6k w - - 1 37,268,279,317,224,288,236,259,274
6r1/2N1R3/1n1N4/k6n/8/8/3K4/8 w - - 1 42,32,57,46,47,51,23,43,48
4kq2/N6Q/4b1K1/8/8/4n1B1/8/8 w - - 2 45,-184,-120,-207,-193,-199,-97,-193,-201
1B6/8/2r2b2/5R2/8/8/Q7/K3k1q1 w - - 14 48,-357,-363,-359,-358,-355,-74,-391,-360
5k2/2K5/R7/4B3/8/4b3/6r1/3B2b1 w - - 11 41,36,29,29,27,20,28,32,24
7K/2q4b/8/7B/5b2/8/1k3BQ1/8 w - - 8 32,178,141,137,90,177,200,170,178
K7/3Q4/7B/3N4/8/1k3n2/6q1/6b1 w - - 10 55,276,272,258,265,257,272,271,255
8/5q2/8/5K2/1k6/1rb5/Q5RB/8 w - - 15 64,-68,-32,-101,-90,-367,-48,-197,-358
N6n/6k1/8/5KB1/4R3/3b4/8/7r w - - 5 67,-23,-31,-26,-26,-26,-26,-23,-27
2N3n1/8/3b3q/5B2/8/4k3/8/1K3Q2 w - - 12 64,217,184,185,191,189,187,205,162
1Bn3b1/5r2/8/8/NK6/3R4/k7/8 w - - 2 70,69,70,53,63,59,69,69,30
3r3q/Q7/8/8/2b3K1/8/2B1k3/R7 w - - 5 69,11,13,11,18,177,11,13,14
2K5/3R4/8/5R2/4Q3/k7/2r2r1q/8 w - - 20 64,-21,-20,-20,-84,-167,-14,-26,-17
5r2/8/6q1/8/r1k5/4Q3/3R1K2/5R2 w - - 5 35,-75,-246,0,-1019,0,-227,-110,-112
8/3R4/1Q5B/4q3/5b2/8/4r2k/K7 w - - 12 52,-356,-351,-360,-351,-377,-351,-352,-363
2Q5/1B4k1/1K6/8/6b1/8/2Rr4/3q4 w - - 8 41,75,169,183,86,100,179,182,147
7N/1b1q4/8/2n5/2k5/6Q1/5B2/1K6 w - - 2 54,-267,-19,-26,-315,-31,-280,-3,-191
6k1/3Q4/b6n/8/8/1NB5/6q1/1K6 w - - 11 39,499,520,525,523,503,523,509,518
r2r2k1/2K5/2B5/8/8/3b4/2R5/2R5 w - - 12 41,51,148,60,142,51,137,124,132
6B1/8/3R4/1k3r2/6B1/4K3/6b1/1b6 w - - 10 33,30,30,27,27,24,27,27,27
3K4/Q7/8/8/1q6/3k4/1rR1n3/N7 w - - 4 36,157,162,153,158,151,164,164,156
B4k2/8/4Q3/5N2/5K2/2q1n3/2b5/8 w - - 11 55,219,260,251,231,239,242,293,258
1q6/1N4rk/1R3Q2/7K/8/8/8/2n5 w - - 6 43,466,239,415,306,302,491,453,407
7R/8/6Q1/6n1/8/1K6/N4rq1/k7 w - - 9 66,12,0,13,20,19,15,22,11
nq6/4N3/4b2B/8/3K2k1/8/3Q4/8 w - - 2 61,34,22,40,11,139,91,129,36
2R5/8/4Q3/2K2n2/2N5/3r1q2/5k2/8 w - - 6 44,173,259,92,160,98,161,97,104
3r4/6B1/8/8/3n1R2/b7/3N3k/5K2 w - - 1 37,867,299,805,2768,282,302,3054,804
1Q1n4/2r1q3/8/2R5/3K4/8/4k3/1N6 w - - 4 32,325,0,0,0,0,0,0,0
8/6k1/6qn/1N6/3N4/6K1/2n4Q/8 w - - 0 32,-288,-269,-298,-296,-289,-235,-262,-309
8/5R2/k6N/8/1Rn5/2r5/3r2K1/8 w - - 18 69,-163,-161,-170,-165,-168,-157,-163,-168
3r4/5Q2/4R3/6R1/r7/8/8/1q3K1k w - - 6 70,0,0,0,0,0,0,0,0
R3K3/8/8/8/8/1qr5/4QN1k/1n6 w - - 8 62,138,145,122,113,121,144,90,111
8/4r3/1q6/R4Q2/8/5R2/1K5k/3r4 w - - 5 56,0,0,-24,-3,-12,-11,0,-6
8/8/3R4/Q1K2k2/8/2n1r1q1/N7/8 w - - 4 31,120,150,113,114,117,125,133,117
7Q/4K3/8/5k2/8/1n5N/1Bb5/1q6 w - - 9 35,240,215,188,186,225,237,222,210
2r5/4q2k/1Q5N/8/8/5K2/R7/5n2 w - - 11 59,248,297,323,93,290,260,120,71
6K1/8/2Q5/5n2/4N3/4r2q/2R5/6k1 w - - 6 45,228,235,256,275,235,268,267,253
7N/8/k7/1r6/4q2K/1n6/8/1R3Q2 w - - 0 31,-142,-157,-120,-185,-157,-155,-128,-153
5kNQ/8/8/5qb1/8/7K/8/2n4B w - - 1 51,-113,-105,-125,-116,-122,-123,-164,-108
R7/2r5/2n5/8/4N3/4K2k/8/4N1n1 w - - 3 50,99,108,93,91,126,105,111,99
1n6/8/6r1/5qNQ/2k5/8/6R1/7K w - - 8 70,155,163,87,165,164,157,161,168
2Q5/3B3K/2B5/8/3b4/3k4/7q/1b6 w - - 10 49,-328,-336,-320,-288,-132,-342,-331,-269
6Q1/8/1kq4b/8/3R4/8/3B3K/1r6 w - - 18 66,46,47,47,50,50,42,46,47
4k1n1/RN6/8/8/8/5b2/K7/B3r3 w - - 6 54,31992,31992,31992,31991,31992,31992,31992,31992
6r1/7q/6k1/2R4b/8/3K1Q2/8/3B4 w - - 17 67,68,325,327,286,320,287,98,320
4r3/1k1b4/b6R/8/8/6B1/7K/6B1 w - - 6 30,92,84,89,94,94,83,85,94
1R6/7k/3r4/2N4K/6B1/8/8/b5n1 w - - 0 32,54,51,49,51,47,47,44,54
3k4/7b/7q/8/1K3Q1r/8/R6B/8 w - - 6 45,-47,-50,-50,-49,-50,-50,-49,-50
5NQ1/8/5k2/1q6/6K1/B4b2/8/6n1 w - - 5 35,-83,-264,-280,-279,-267,-251,-265,-277
8/8/2br4/3Nn3/3R4/8/3B1k2/7K w - - 6 65,-52,-89,-54,-54,-54,-49,-54,-54
6q1/3Q4/4N3/2R2K2/8/4r3/5n2/4k3 w - - 8 38,610,586,945,2814,2826,3127,2921,2845
r3K3/7R/3Q4/8/1rk5/2q5/8/5R2 w - - 2 34,-157,-29,-16,-104,-165,-162,-12,-144
5b2/4q3/k6r/8/8/3K1B2/8/1R4Q1 w - - 3 37,28,29,31,34,34,27,31,31
Q6K/2b5/6q1/4k3/5b2/7B/8/3B4 w - - 0 38,524,474,501,534,508,511,531,347
8/1B6/QN6/8/8/2K1k1n1/4b3/6q1 w - - 1 40,20,19,26,42,39,48,44,18
b2k4/8/4K3/4B2q/8/4B1Q1/7b/8 w - - 1 43,31994,31994,3223,3232,31994,31994,31994,31994
1k1K4/8/8/q5r1/8/8/7b/B1RQ4 w - - 0 42,-85,-91,-69,-131,-144,-101,-345,-68
q6b/8/1Q6/8/k7/8/3R4/2r2KB1 w - - 12 63,-255,-254,-281,-309,-322,-345,-338,-319
7b/8/5b2/8/NB6/6nB/2K5/k7 w - - 10 42,14,8,11,15,15,12,15,12
B4b2/3r4/7n/NR6/8/3K4/k7/8 w - - 19 69,47,35,35,52,50,40,47,43
r5K1/8/2R2Q2/n7/5N2/8/5k2/4q3 w - - 8 68,22,24,11,7,6,41,32,20
7B/7R/5bB1/3k4/8/1r6/1b6/1K6 w - - 16 63,154,163,157,155,156,165,155,162
Bk6/4R3/2K5/8/Q7/7b/8/2q3r1 w - - 1 54,-186,-203,-145,-204,-42,-140,-150,-219
1k4K1/7Q/8/8/6RN/8/1q6/1r4n1 w - - 9 40,200,118,174,203,180,184,106,243
8/3K4/3b4/k5B1/3rq3/8/2R2Q2/8 w - - 13 67,-222,-318,-167,-329,-291,-259,-323,-347
2K2b2/6R1/7B/8/4B3/8/1b3k2/5r2 w - - 7 31,111,105,99,104,117,109,96,118
8/2R5/3r4/4r3/1k6/2R5/1K3N2/5n2 w - - 4 58,177,185,185,179,179,181,177,181
8/Q7/8/2B5/8/1q1KR3/7b/5rk1 w - - 4 31,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
2n1K3/r7/8/1R6/8/6r1/N6R/k7 w - - 15 55,-243,-134,-219,-303,-272,-269,-87,-274
b7/3B4/k7/q7/7Q/r1R5/3K4/8 w - - 11 69,178,184,184,187,198,180,2862,202
r7/8/2R5/8/5k2/7R/r3b3/3BK3 w - - 19 62,131,149,131,126,136,132,155,153
3r4/4k3/R2r1N2/6K1/R7/8/2n5/8 w - - 1 50,45,47,57,50,50,48,53,51
8/3N4/4r3/k7/5r2/7n/1R6/2R4K w - - 8 36,89,39,51,53,52,62,65,53
8/R3B3/8/5b2/8/2n4r/K5N1/2k5 w - - 12 44,-11,-18,-17,-13,-12,-25,-12,-21
3R4/r7/2Q2R2/3K4/6q1/7k/8/4r3 w - - 3 46,603,583,684,549,467,569,547,603
8/5B2/R3n3/N7/3K4/8/b7/r1k5 w - - 15 53,54,53,48,46,52,51,50,47
4b3/8/5K2/1R1N4/2B5/8/6k1/5r1n w - - 12 58,38,41,31,38,39,40,41,38
RB3n2/4k2K/1b6/8/1r6/8/8/4N3 w - - 6 64,-46,-35,-51,-56,-47,-50,-44,-52
4Q3/8/8/4R3/8/7b/7r/BK1k3q w - - 7 30,241,48,158,157,28,53,247,177
6B1/N2n4/8/5R2/8/br6/k7/6K1 w - - 2 68,167,146,57,155,155,157,150,138
k1K2R2/3rr3/n7/6R1/8/5N2/8/8 w - - 7 49,-144,-144,-237,-163,-164,-160,-215,-170
R7/8/Bb6/7r/3r4/7k/1KR5/8 w - - 12 53,40,54,46,38,51,51,47,47
k1r4r/8/8/1R2R3/6N1/8/8/1K5n w - - 2 51,55,86,82,96,98,160,69,98
8/2K4r/2R5/4R3/4Q3/8/1k4r1/7q w - - 4 39,257,346,158,0,197,287,89,0
8/rq6/6b1/1B3k2/2K5/4R3/8/6Q1 w - - 11 66,31994,31994,31994,31994,31994,31994,31994,31994
7b/2k5/7B/K2q4/3b3Q/B7/8/8 w - - 13 50,-31992,-31992,-3387,-31992,-31992,-31992,-31992,-31994
8/8/1R6/Q5K1/8/1b2r2k/4q3/6B1 w - - 3 45,290,276,281,344,348,311,291,343
1K6/8/2N3bB/8/7Q/q6n/8/k7 w - - 5 36,280,317,277,281,286,411,279,264
1q4b1/8/6R1/Q7/1r6/8/8/1k4BK w - - 4 42,483,566,400,293,519,638,552,545
1RB5/6b1/8/2NK4/8/8/3n2r1/5k2 w - - 11 47,184,183,180,188,176,192,191,187
4Q3/3B4/k1K2r2/8/6Rq/8/5b2/8 w - - 11 47,47,42,44,50,50,46,45,41
1N4R1/8/5b2/8/8/5kn1/4r2K/6B1 w - - 0 39,-47,-50,-53,-51,-54,-50,-54,-49
1k3K2/2r5/3R4/6R1/8/8/qr6/5Q2 w - - 4 48,0,0,24,0,13,1,0,5
7k/4Q3/1N1N4/8/8/K2n4/4n3/3q4 w - - 4 48,343,339,331,332,327,342,336,342
6B1/8/6b1/K4kq1/R2Q4/8/8/2r5 w - - 6 41,282,137,129,118,111,170,129,249
8/3b4/8/B7/1N4b1/3K4/8/kn2B3 w - - 16 54,31995,31995,31995,3,31995,206,31995,31995
b4K2/6R1/7Q/8/8/8/1k4r1/5q1B w - - 9 45,13,27,13,13,18,13,13,17
8/8/K7/5k2/1qb4B/8/4b3/2B3Q1 w - - 14 48,-31993,-31993,-31993,-31993,-31993,-31993,-31993,-31993
8/3q4/8/5bQ1/2N4K/8/1Bn4k/8 w - - 5 39,3530,3450,3379,3349,3409,3349,3492,3344
1K6/8/8/8/4kB2/8/2R4Q/2b1r2q w - - 10 34,71,158,144,39,127,42,88,122
3k1K2/2q5/1b6/8/4B3/2b5/2B1Q3/8 w - - 9 53,-31991,-31992,-31991,-31992,-31992,-31991,-31992,-31991
B4K2/8/8/8/1q2r3/3R2Q1/8/1b5k w - - 14 48,3022,855,820,3100,995,883,556,2922
2k4r/8/3R4/1Q6/8/4q3/3R3r/7K w - - 4 48,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
3B4/7q/R4Q2/8/2b5/K6r/8/1k6 w - - 5 56,-372,-172,-486,-454,-443,-390,-546,-436
8/8/b2B4/8/b2K4/B2q1k2/7Q/8 w - - 11 67,-390,-347,-336,-690,-3428,-3322,-3428,-1732
7r/8/4K1k1/Q5n1/1RN5/8/8/6q1 w - - 8 60,-85,-79,-81,-104,-118,-92,-106,-77
1Q6/8/5B2/3K3R/8/4q3/4rk2/6b1 w - - 5 42,33,28,28,30,30,30,28,26
8/5B2/8/8/4KQrq/5R2/8/bk6 w - - 3 47,-19,-15,-27,-23,-23,-23,-27,-22
8/8/2nk4/4q3/K4N2/4Q2R/8/5r2 w - - 14 70,313,64,296,339,331,346,323,315
3Q1B2/3R4/3r1b2/7k/4K3/q7/8/8 w - - 15 54,508,514,592,491,450,532,477,480
8/1Q2B3/4n3/8/2N4b/6k1/2K5/6q1 w - - 3 49,166,191,167,145,180,206,190,218
7r/3k4/7q/2B5/8/QK6/7b/5R2 w - - 6 70,71,53,61,88,80,121,105,121
5r2/k4n2/8/1K5R/1N6/6B1/8/2b5 w - - 14 63,54,83,93,100,71,96,52,56
2K1nk2/1Q3N1R/5r2/8/8/8/8/3q4 w - - 11 59,686,2911,400,578,512,509,508,659
5q2/8/1K6/3N3b/5B2/5k2/Q7/7n w - - 1 31,263,278,267,135,271,240,198,278
r4K2/7k/4B3/b1B5/8/6b1/1R6/8 w - - 7 52,14,18,15,14,3,7,20,23
4q3/4n3/3k4/8/K3Q3/1R3N2/8/3r4 w - - 15 62,80,0,80,0,3,0,0,0
3k4/7b/2B3b1/2K1r3/6R1/8/8/6B1 w - - 5 35,0,3,8,8,3,0,0,3
8/8/3Q4/K1N5/5R2/8/1r3n2/4k1q1 w - - 6 55,299,267,262,203,300,300,306,267
4Q1b1/2K5/3R4/8/1k1B2r1/6q1/8/8 w - - 3 43,203,213,204,236,227,223,232,210
1r3B1b/4NR2/8/8/6k1/2n5/8/K7 w - - 3 33,-189,-189,-201,-177,-200,-194,-187,-188
7B/5K2/8/8/2b5/3kq3/5R1Q/2r5 w - - 14 57,-252,-278,-272,-285,-180,-243,-271,-167
2N2nk1/8/3K4/1q6/8/5Q2/8/2N2n2 w - - 4 60,191,431,431,199,401,413,417,388
2k4r/8/7b/1b6/8/1B2R3/3K4/1B6 w - - 0 31,-152,-157,-159,-66,-65,-72,-153,-142
2R5/8/K2r1r2/8/6q1/2R5/k7/2Q5 w - - 11 39,-2796,-2792,-2761,-2749,-864,-2740,-2773,-2709
5r1q/8/5b2/1B4R1/8/8/1k2K1Q1/8 w - - 2 38,47,130,47,167,188,95,273,48
6B1/2K5/8/q7/b4k1N/Q1n5/8/8 w - - 0 57,-507,-615,-426,-418,-417,-475,-409,-498
4Q2N/4K3/r7/q7/5k2/8/1R6/7n w - - 13 69,267,13,7,311,307,285,197,96
2q5/1r3R2/Q1K5/4N3/8/8/7k/1n6 w - - 6 30,-217,-205,-206,-219,-229,-223,-235,-204
